CustomerID,Recency,Frequency,Monetary,Recency_capped,Frequency_capped,Monetary_capped,Frequency_log,Monetary_log,Cluster,Segment
12346.0,326,1,77183.6,326,1,19880.99570000001,0.6931471805599453,9.89756986249604,2,Lost / Inactive
12347.0,2,7,4310.0,2,7,4310.0,2.0794415416798357,8.368925174747135,1,Loyal Customers
12348.0,75,4,1797.24,75,4,1797.24,1.6094379124341003,7.494563687769957,1,Loyal Customers
12349.0,19,1,1757.55,19,1,1757.55,0.6931471805599453,7.472244884833674,0,Potential Loyalists
12350.0,310,1,334.40000000000003,310,1,334.40000000000003,0.6931471805599453,5.815323849389109,2,Lost / Inactive
12352.0,36,8,2506.04,36,8,2506.04,2.1972245773362196,7.826858053356098,1,Loyal Customers
12353.0,204,1,89.0,204,1,89.0,0.6931471805599453,4.499809670330265,2,Lost / Inactive
12354.0,232,1,1079.4,232,1,1079.4,0.6931471805599453,6.985086621918461,2,Lost / Inactive
12355.0,214,1,459.40000000000003,214,1,459.40000000000003,0.6931471805599453,6.132095676847728,2,Lost / Inactive
12356.0,23,3,2811.43,23,3,2811.43,1.3862943611198906,7.941804157314053,1,Loyal Customers
12357.0,33,1,6207.67,33,1,6207.67,0.6931471805599453,8.733701981297274,0,Potential Loyalists
12358.0,2,2,1168.06,2,2,1168.06,1.0986122886681098,7.063955286074528,0,Potential Loyalists
12359.0,58,4,6372.58,58,4,6372.58,1.6094379124341003,8.759916600117213,1,Loyal Customers
12360.0,52,3,2662.06,52,3,2662.06,1.3862943611198906,7.887231116540211,1,Loyal Customers
12361.0,287,1,189.9,287,1,189.9,0.6931471805599453,5.251749730731702,2,Lost / Inactive
12362.0,3,10,5226.2300000000005,3,10,5226.2300000000005,2.3978952727983707,8.56163678004062,1,Loyal Customers
12363.0,110,2,552.0,110,2,552.0,1.0986122886681098,6.315358001522335,0,Potential Loyalists
12364.0,8,4,1313.1,8,4,1313.1,1.6094379124341003,7.180907299649593,1,Loyal Customers
12365.0,291,2,641.38,291,2,641.38,1.0986122886681098,6.465180028897591,2,Lost / Inactive
12367.0,4,1,168.9,4,1,168.9,0.6931471805599453,5.135210028677887,0,Potential Loyalists
12370.0,51,4,3545.69,51,4,3545.69,1.6094379124341003,8.173770053153254,1,Loyal Customers
12371.0,45,2,1887.96,45,2,1887.96,1.0986122886681098,7.543781692052325,0,Potential Loyalists
12372.0,72,3,1298.04,72,3,1298.04,1.3862943611198906,7.169380809114136,0,Potential Loyalists
12373.0,311,1,364.6,311,1,364.6,0.6931471805599453,5.901539839579995,2,Lost / Inactive
12374.0,25,1,742.9300000000001,25,1,742.9300000000001,0.6931471805599453,6.6119469443852195,0,Potential Loyalists
12375.0,11,2,457.5,11,2,457.5,1.0986122886681098,6.127960291696519,0,Potential Loyalists
12377.0,315,2,1628.1200000000001,315,2,1628.1200000000001,1.0986122886681098,7.395795270713971,2,Lost / Inactive
12378.0,130,1,4008.62,130,1,4008.62,0.6931471805599453,8.29645175271804,0,Potential Loyalists
12379.0,82,2,852.24,82,2,852.24,1.0986122886681098,6.749040867823617,0,Potential Loyalists
12380.0,22,4,2724.81,22,4,2724.81,1.6094379124341003,7.910520910634419,1,Loyal Customers
12381.0,5,5,1845.31,5,5,1845.31,1.791759469228055,7.520944331624911,1,Loyal Customers
12383.0,185,5,1850.56,185,5,1850.56,1.791759469228055,7.523783805985769,1,Loyal Customers
12384.0,29,2,585.27,29,2,585.27,1.0986122886681098,6.373780434317173,0,Potential Loyalists
12386.0,338,2,401.9,338,2,401.9,1.0986122886681098,5.998688392197302,2,Lost / Inactive
12388.0,16,6,2780.6600000000003,16,6,2780.6600000000003,1.9459101490553132,7.930803150780257,1,Loyal Customers
12390.0,80,1,549.84,80,1,549.84,0.6931471805599453,6.311444385858925,0,Potential Loyalists
12391.0,22,1,460.89,22,1,460.89,0.6931471805599453,6.1353267674944725,0,Potential Loyalists
12393.0,72,4,1582.6000000000001,72,4,1582.6000000000001,1.6094379124341003,7.3674560152319755,1,Loyal Customers
12394.0,64,2,1272.48,64,2,1272.48,1.0986122886681098,7.149508589545504,0,Potential Loyalists
12395.0,19,12,3018.63,19,12,3018.63,2.5649493574615367,8.012889586306857,1,Loyal Customers
12397.0,36,2,2409.9,36,2,2409.9,1.0986122886681098,7.7877554007552545,0,Potential Loyalists
12398.0,46,1,1635.6599999999999,46,1,1635.6599999999999,0.6931471805599453,7.4004128587924045,0,Potential Loyalists
12399.0,119,4,1108.65,119,4,1108.65,1.6094379124341003,7.011799929268738,0,Potential Loyalists
12401.0,303,1,84.3,303,1,84.3,0.6931471805599453,4.446174454497633,2,Lost / Inactive
12402.0,323,1,225.60000000000002,323,1,225.60000000000002,0.6931471805599453,5.423186348593906,2,Lost / Inactive
12403.0,50,1,427.7,50,1,427.7,0.6931471805599453,6.0607573736039315,0,Potential Loyalists
12405.0,149,1,1710.39,149,1,1710.39,0.6931471805599453,7.445061184797548,0,Potential Loyalists
12406.0,22,2,3415.3,22,2,3415.3,1.0986122886681098,8.136313373066384,1,Loyal Customers
12407.0,50,5,1708.12,50,5,1708.12,1.791759469228055,7.4437338971514055,1,Loyal Customers
12408.0,33,5,2888.55,33,5,2888.55,1.791759469228055,7.968856059639959,1,Loyal Customers
12409.0,79,3,11072.67,79,3,11072.67,1.3862943611198906,9.312325497408466,1,Loyal Customers
12410.0,309,2,693.33,309,2,693.33,1.0986122886681098,6.542947351813216,2,Lost / Inactive
12412.0,75,3,1226.88,75,3,1226.88,1.3862943611198906,7.1130443840624835,0,Potential Loyalists
12413.0,67,3,758.1,67,3,758.1,1.3862943611198906,6.632133521022722,0,Potential Loyalists
12414.0,217,3,562.4100000000001,217,3,562.4100000000001,1.3862943611198906,6.334007604663526,2,Lost / Inactive
