CustomerID,PrimaryCountry,Recency,Frequency,Monetary,LastPurchaseDate
12346.0,United Kingdom,326,1,77183.6,2011-01-18 10:01:00
12347.0,Iceland,2,7,4310.0,2011-12-07 15:52:00
12348.0,Finland,75,4,1797.24,2011-09-25 13:13:00
12349.0,Italy,19,1,1757.55,2011-11-21 09:51:00
12350.0,Norway,310,1,334.40000000000003,2011-02-02 16:01:00
12352.0,Norway,36,8,2506.04,2011-11-03 14:37:00
12353.0,Bahrain,204,1,89.0,2011-05-19 17:47:00
12354.0,Spain,232,1,1079.4,2011-04-21 13:11:00
12355.0,Bahrain,214,1,459.40000000000003,2011-05-09 13:49:00
12356.0,Portugal,23,3,2811.43,2011-11-17 08:40:00
12357.0,Switzerland,33,1,6207.67,2011-11-06 16:07:00
12358.0,Austria,2,2,1168.06,2011-12-08 10:26:00
12359.0,Cyprus,58,4,6372.58,2011-10-13 12:47:00
12360.0,Austria,52,3,2662.06,2011-10-18 15:22:00
12361.0,Belgium,287,1,189.9,2011-02-25 13:51:00
12362.0,Belgium,3,10,5226.2300000000005,2011-12-06 15:40:00
12363.0,Unspecified,110,2,552.0,2011-08-22 10:18:00
12364.0,Belgium,8,4,1313.1,2011-12-02 10:22:00
12365.0,Cyprus,291,2,641.38,2011-02-21 14:04:00
12367.0,Denmark,4,1,168.9,2011-12-05 16:48:00
12370.0,Cyprus,51,4,3545.69,2011-10-19 14:51:00
12371.0,Switzerland,45,2,1887.96,2011-10-26 10:16:00
12372.0,Denmark,72,3,1298.04,2011-09-29 12:12:00
12373.0,Austria,311,1,364.6,2011-02-01 13:10:00
12374.0,Austria,25,1,742.9300000000001,2011-11-14 15:37:00
12375.0,Finland,11,2,457.5,2011-11-29 10:36:00
12377.0,Switzerland,315,2,1628.1200000000001,2011-01-28 15:45:00
12378.0,Switzerland,130,1,4008.62,2011-08-02 10:34:00
12379.0,Belgium,82,2,852.24,2011-09-19 10:09:00
12380.0,Belgium,22,4,2724.81,2011-11-18 11:27:00
12381.0,Norway,5,5,1845.31,2011-12-05 12:44:00
12383.0,Belgium,185,5,1850.56,2011-06-08 08:02:00
12384.0,Switzerland,29,2,585.27,2011-11-11 08:39:00
12386.0,Australia,338,2,401.9,2011-01-06 12:37:00
12388.0,Australia,16,6,2780.6600000000003,2011-11-24 12:30:00
12390.0,Belgium,80,1,549.84,2011-09-21 09:33:00
12391.0,Cyprus,22,1,460.89,2011-11-18 12:07:00
12393.0,Australia,72,4,1582.6000000000001,2011-09-28 15:41:00
12394.0,Belgium,64,2,1272.48,2011-10-07 08:08:00
12395.0,Belgium,19,12,3018.63,2011-11-20 15:21:00
12397.0,Belgium,36,2,2409.9,2011-11-04 09:52:00
12398.0,Switzerland,46,1,1635.6599999999999,2011-10-25 10:27:00
12399.0,Belgium,119,4,1108.65,2011-08-12 13:15:00
12401.0,Belgium,303,1,84.3,2011-02-09 13:50:00
12402.0,Belgium,323,1,225.60000000000002,2011-01-20 13:49:00
12403.0,Denmark,50,1,427.7,2011-10-21 10:51:00
12405.0,Finland,149,1,1710.39,2011-07-14 08:52:00
12406.0,Denmark,22,2,3415.3,2011-11-17 19:22:00
12407.0,Belgium,50,5,1708.12,2011-10-21 10:11:00
